race_key,実際,的中,予測1,予測2,予測3,予測4,予測5
2025-08-12_R5,4-2-5,0,3-1-2,3-4-2,3-5-2,3-6-2,4-1-2
2025-08-12_R6,6-5-1,0,2-1-5,2-3-5,2-4-5,2-6-5,3-2-5
2025-08-12_R7,3-6-2,0,2-1-3,2-3-1,2-3-4,2-3-5,2-3-6
2025-08-12_R10,4-3-2,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-08-12_R12,5-4-1,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-08-13_R1,2-6-3,0,2-1-3,2-3-1,2-3-4,2-3-5,2-3-6
2025-08-13_R2,2-5-3,0,2-3-4,2-4-3,3-2-4,3-4-2,4-2-3
2025-08-13_R7,2-5-1,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-08-13_R9,3-6-1,0,2-1-4,2-3-4,2-4-1,2-4-3,2-4-5
2025-08-17_R4,2-5-1,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-08-17_R9,2-1-4,1,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-08-18_R3,4-2-1,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-08-18_R4,3-5-4,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-08-19_R3,6-5-2,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-08-19_R4,5-6-1,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-08-19_R5,4-3-5,0,3-1-2,3-4-2,3-5-2,3-6-2,4-1-2
